Titulo,Categoria,Resumo,Status
Foto de gato selvagem caçando flamingo ganha prêmio de imagens de natureza; veja outras premiadas,ciencia,Confira as fotos vencedoras do concurso Nature TTL Photographer of the Year 2022.,0
A patrulha do intestino,ciencia,Estudo mostra como funciona a barreira natural que aciona o sistema imunológico contra patógenos,0
"O que são mares leitosos, enigma que a ciência está próxima de resolver",ciencia,"Marinheiros relatam há séculos surpresa ao navegar por mares de onde brota uma luz fluorescente, mas poucos a viram e só agora estão sendo descobertos os segredos do fenômeno lendário.",0
'Superlua de esturjão' acontece amanhã e será a última do ano; veja como observar,ciencia,"Para avistar o satélite natural, não é preciso nenhum equipamento especial, somente condições climáticas favoráveis. Fenômeno ocorre na mesma semana que chuva de meteoros Perseidas, que poderá ser vista mais nitidamente no Norte e Nordeste.",0
Perseidas: como observar chuva de meteoros no Brasil,ciencia,Espetáculo de estrelas cadentes está prestes a acontecer. Mas lua cheia pode dificultar visibilidade das Perseidas neste ano.,0
Homens e mulheres: sobre diferenças e semelhanças,ciencia,Mapeamento de variáveis biológicas pode ajudar na prevenção e no tratamento de doenças,0
Nasa enviará mais dois helicópteros em missão para Marte,ciencia,Missão faz parte de um plano B da agência espacial para o transporte de amostras do solo marciano à Terra.,0
Parceria entre UFSJ e UFJF em pesquisa estuda padrão das mutações do novo coronavírus,ciencia,Pesquisadores das duas instituições analisaram dados relacionados ao combate à pandemia e efeitos da vacinação. ,0
Pesquisa da Unicamp inédita no país descobre como cepa brasileira do zika vírus atrapalha a formação de neurônios,ciencia,"Daniel Martins de Souza, doutor em bioquímica, liderou o estudo. Descoberta pode ajudar na criação de medicamentos e terapias para evitar microcefalia, causada em decorrência da infecção de grávidas pelo vírus.",0
Um pouco de psicologia positiva para cuidar melhor do dinheiro,ciencia,"Há uma relação entre emoções como ansiedade, raiva e solidão e a autoeficácia financeira, a capacidade de se organizar e atingir metas ",0
Cientista de renome se desculpa por postar foto de salame e dizer que era uma estrela,ciencia,"Étienne Klein, cientista francês que chefia o departamento de pesquisa da Comissão Francesa de Energia Atômica, postou no Twitter uma imagem que dizia ser da estrela mais próxima do Sol capturada pelas lentes do poderoso telescópio James Webb.",0
Por que Terra registrou o dia mais curto da história em 29 de junho,ciencia,"Em 29 de junho deste ano, nosso planeta viveu o dia mais curto já registrado.",0
Os polvos têm sentimentos?,ciencia,"Os polvos resolvem problemas, fazem travessuras e são verdadeiros artistas da fuga. Sua vida íntima parece ser bastante rica.",0
EUA declaram emergência de saúde por causa da varíola dos macacos,ciencia,"EUA identificaram cerca de 1,6 milhão de pessoas que são altamente vulneráveis ao vírus, mas o país tem 550 mil doses de vacina. Com a declaração de emergência, agências de governo vão receber mais dinheiro.",0
Como o preconceito contra os mais velhos impacta os cuidados na saúde ,ciencia,"A inteligência artificial precisa de informações para melhorar diagnósticos e a qualidade dos serviços, mas idosos são considerados “minoria” e estão sub-representados nos bancos de dados",0
"Água de chuva no mundo todo está contaminada com 'poluentes eternos', mostram estudos",ciencia,"Da Antártida ao Tibete, os produtos químicos de longa duração na água da chuva estão em nível bem acima das diretrizes de segurança dos EUA",0
"Mais potente que bomba atômica, erupção de vulcão em Tonga pode aquecer temporariamente a Terra, diz Nasa",ciencia,"Ocorrida em janeiro, a erupção do vulcão no Pacífico Sul expulsou uma quantidade de vapor de água para a estratosfera terrestre em proporção não registrada em 18 anos de medições deste tipo de fenômeno.",0
O que é um meteoro?,ciencia,Os meteoros são quando os meteroides invadem a atmosfera da Terra,0
Terra registra seu dia mais curto na história recente,ciencia,"29 de junho foi o dia mais curto do nosso planeta desde 1960, quando cientistas passaram a medir a duração dos dias com relógios de alta precisão.",0
Cientistas dizem ter restaurado funções de células mortas de porcos ,ciencia,"Estudo foi publicado na revista Nature. Mesmo grupo de pesquisadores já havia anunciado procedimento semelhante em 2019, que reativou atividade celular no cérebro de suínos. Novo estudo focou em outros órgãos, como fígado e rins. ",0
Terra registra seu dia mais curto na história recente,ciencia,"29 de junho foi o dia mais curto do nosso planeta desde 1960, quando cientistas passaram a medir a duração dos dias com relógios de alta precisão. ",0
O revolucionário método com realidade virtual que separou gêmeos brasileiros unidos pelo crânio,ciencia,Os gêmeos passaram por sete cirurgias com quase 100 profissionais de saúde envolvidos em ambiente de realidade virtual,0
Telescópio James Webb divulga imagem de galáxia de aparência curiosa,ciencia,"Apelidada de galáxia 'Roda de Carro', sistema está a cerca de 500 milhões de anos-luz de distância da Terra.",0
'Roda de Carro': telescópio James Webb divulga imagem de galáxia de aparência curiosa,ciencia,"Apelidada de galáxia 'Roda de Carro', sistema está a cerca de 500 milhões de anos-luz de distância da Terra.",0
A importância dos mais velhos para atenuar o trauma coletivo da Covid,ciencia,"“A convivência intergeracional mostrou que os avós tiveram papel da maior relevância para diminuir o estresse dos netos”, afirma especialista",0
O ambicioso projeto da China para criar novos alimentos no espaço,ciencia,O envio de sementes em viagens curtas ao espaço ajuda os cientistas a desenvolver novas variedades de produtos agrícolas que podem prosperar em meio às mudanças climáticas e ajudar a alimentar a crescente população mundial.,0
O misterioso vírus 'impostor' que nos protege da varíola dos macacos  ,ciencia,Imunizante é feito a partir de um vírus desaparecido que ninguém jamais conseguiu identificar — mas como isso aconteceu? E será que ainda pode existir na natureza?,0
O supertelescópio que vai investigar a origem das estrelas,ciencia,Um novo equipamento vai ajudar a reconstruir com detalhes inéditos a formação da Via Láctea.,0
Pesquisa liga beijos na Idade do Bronze a origem da herpes labial,ciencia,Estudo analisou amostras antigas de DNA para procurar origens desse vírus.,0
Os animais que fazem arte - e podem ter vantagens evolutivas com isso,ciencia,"Apreciar a beleza pode ser uma das características que nos torna humanos, mas alguns animais também parecem compartilhá-la.",0
"O que é a hipótese de Gaia, que defende que a Terra 'está viva'",ciencia,A teoria se tornou popular em universidades do mundo todo e ajuda a explicar o impacto humano sobre o clima.,0
Septuagenárias e rebeldes,ciencia,"Livro da jornalista Helena Celestino resgata a história do Círculo de Mulheres Brasileiras, um grupo feminista criado em Paris por exiladas ",0
Prefeitura de Santo André afasta médico acusado de homofobia ao atender paciente gay com suspeita de varíola dos macacos,ciencia,"Médico de UPA de Santo André não aceitou quando paciente respondeu que era HIV negativo, e insistiu na pergunta. Prefeitura lamentou caso, disse que conduta do profissional será apurada e afastou o médico dos plantões em equipamentos municipais durante o processo. ",0
'Viúva negra' cósmica gulosa é a estrela de nêutrons mais pesada conhecida até agora,ciencia,"Ela ficou conhecida e especialmente pesada após ""engolir"" a maior parte da massa de uma estrela companheira.",0
Conjunto de 'buracos misteriosos' no fundo do oceano intriga cientistas,ciencia,Cavidades foram localizadas durante expedição de equipe da Agência Americana Oceânica e Atmosférica (NOAA). É a segunda vez que os conjuntos são localizados e a origem ainda não foi definida.,0
O matemático que foi 'anjo da guarda' de Albert Einstein,ciencia,"Como amigo e matemático, Marcel Grossmann esteve em alguns dos momentos mais cruciais da vida do gênio da física. Albert Einstein expressou sua gratidão a ele.",0
3 animais 'imortais' que fascinam cientistas há décadas,ciencia,Estas criaturas parecem ter decifrado a fórmula para deter o envelhecimento e até mesmo revertê-lo.,0
O raro fóssil de peixe em pose 'feroz' encontrado em pasto ,ciencia,"Paleontólogos investigam novo e notável sítio jurássico nos arredores da cidade de Stroud, no Reino Unido.",0
'Não toque nem coma': o alerta das autoridades nos EUA sobre perigoso caramujo gigante,ciencia,Caramujos-gigantes-africanos encontrados na Flórida podem destruir plantas nativas e hospedar vermes que afetam humanos.,0
"Morre aos 103 anos o cientista britânico James Lovelock, o 'profeta do clima'",ciencia,"Ao longo de sua carreira, Lovelock se apresentou como um 'cientista independente' e criou polêmica com uma visão apocalíptica da crise climática. ",0
Você consegue imaginar uma vida profissional que dure 60 anos?,ciencia,Modelo de trabalho vigente terá que ser repensado com a mudança do perfil demográfico da população,0
"Em reunião anual da SBPC, cientistas pedem que recursos do 'orçamento secreto' sejam destinados à educação e pesquisa",ciencia,"Evento está na 74ª edição e vai até sábado (30), na Universidade de Brasília (UnB). Cientistas publicaram documento onde criticam corte de verbas do governo federal.",0
Combate ao HIV: por que redução nas infecções teve pior número desde 2016,ciencia,"Com a pandemia da covid-19 e outras crises globais, nos últimos dois anos, o progresso contra o HIV enfraqueceu, os recursos destinados a contracepção, tratamento e conscientização diminuíram e, como resultado, milhões de vidas ficaram em risco.",0
Mineiros de Angola encontram maior diamante rosa puro descoberto em 300 anos,ciencia,"Pedra preciosa, de 170 quilates, foi encontrado em mina no interior do país e será vendido em leilão pelo governo angolano. ",0
Família espanhola devolve 2500 artefatos pré-hispânicos ao governo do México,ciencia,O país está em campanha para resgatar o patrimônio histórico retirado ilegalmente do país. ,0
Sonda da Nasa encontra poços lunares com temperaturas 'confortáveis'​ para seres humanos,ciencia,"Diferentemente de outras regiões do satélite natural que chegam a graus extremos, poços identificados pela sonda LRO marcam temperaturas que sempre pairam na casa dos 17ºC. Descoberta pode beneficiar futuras missões da agência espacial. ",0
O que a saída da Rússia pode significar para a Estação Espacial Internacional,ciencia,"Moscou diz que quer construir sua própria estação, encerrando mais de 20 anos de cooperação com os EUA",0
Cientistas descobrem fóssil do 'predador mais antigo do mundo',ciencia,"A espécie, de 560 milhões de anos, pode ser uma chave para entender um dos períodos mais importantes da história do planeta.",0
Estudo mostra que adultos falam e cantam com bebês de modo semelhante ao redor do mundo ,ciencia,Cientistas conduziram testes de escuta com mais de 51 mil pessoas de 187 países. Pesquisa foi publicada revista Nature Human Behavior. ,0
Sonecas podem ser um fator de risco para hipertensão ,ciencia,Pesquisa divulgada hoje pela Associação Americana do Coração alerta para possível relação entre o hábito e um pior quadro de saúde,0
China lança o segundo módulo de sua estação espacial; VÍDEO,ciencia,"O módulo, chamado Wentian, pesando cerca de 20 toneladas e sem um astronauta a bordo, foi impulsionado por um foguete; agência espacial descreveu o lançamento como 'sucesso total'. ",0
China lança o segundo módulo de sua estação espacial,ciencia,"China lança seu segundo módulo, do total de três, para sua estação espacial permanente.",0
Viés de negatividade: por que os efeitos das críticas duram muito mais do que os dos elogios,ciencia,A maioria de nós está sujeita a insultos e comentários sarcásticos no dia a dia — mas não fomos feitos para lidar com um fluxo constante de críticas.,0
Descubra se seus olhos estão precisando de cirurgia plástica,ciencia,O envelhecimento da região das pálpebras tende a cobrir o campo visual e provocar limitações,0
Estado de SP tem 538 casos de monkeypox e governo estadual avalia compra de vacinas contra varíola dos macacos,ciencia,"Casos de monkeypox, a varíola dos macacos, chegaram a 538 no estado de SP, segundo dados deste sábado (23). Vacina contra a doença voltou a ser produzida na Dinamarca e já está sendo adquirida por países da União Europeia e pelos EUA. ",0
Clarão rosa no céu intriga cidade da Austrália e revela plantação secreta de maconha,ciencia,"Luz emitida de uma fazenda de cannabis nos arredores de Mildura, no sudeste do país, causou espanto nos moradores.",0
Robô da Nasa descobre objeto misterioso em Marte,ciencia,"Segundo a Nasa, explicação mais plausível é que se trata dos restos de um componente utilizado para pousar o explorador robótico na superfície de Marte em fevereiro de 2021.",0
Colisão rara de duas estrelas mortas é detectada por novo telescópio,ciencia,Colisões de estrelas de nêutrons são fundamentais para nossa compreensão do Universo — mas sua luz só é visível por algumas noites.,0
"Em meio a aumento de casos, estado de SP avalia compra de vacinas contra varíola dos macacos",ciencia,"Casos de monkeypox, a varíola dos macacos, triplicaram em duas semanas no estado de São Paulo. Vacina contra a varíola humana voltou a ser produzida na Dinamarca e já está sendo adquirida por países da União Europeia e pelos EUA. ",0
Caso de poliomielite é detectado pela primeira vez em décadas nos EUA,ciencia,Vírus foi registado pela última vez nos Estados Unidos em 1993 e pode ter sido levado por viajante que estava fora do país.,0
Nasa anuncia voo à Lua a partir de 29 de agosto e planeja viagem a Marte na década de 2030,ciencia,"
Artemis 1 viajará ao redor da face oculta da Lua em uma missão que irá durar entre quatro e seis semanas. ",0
Nasa escolhe foguete da SpaceX para levar telescópio da Nasa ao espaço,ciencia,"Empresa de Elon Musk fará o lançamento do telescópio espacial Nancy Grace Roman. Decolagem está prevista para outubro de 2026, ao custo de US 225 milhões. ",0
Surpreenda os outros com demonstrações de afeto,ciencia,Gestos de delicadeza inesperados são ainda mais apreciados e alimentam nossas conexões sociais,0
James Webb: astrônomo divulga imagem de galáxia em espiral feita com dados do supertelescópio  ,ciencia,"g1 conversou com o Gabriel Brammer, que fez o 'flagra' da galáxia NGC 628. ",0
Aurora boreal: o 'buraco azul' no céu da Suécia que permite observar esse fenômeno e 'arco-íris lunar',ciencia,"O pequeno vilarejo de Abisko é considerado um dos melhores lugares do planeta para observar as luzes que parecem dançar nos céus, graças a características particulares deste local.",0
Como irmãos podem aprender a cuidar dos pais sem brigas ,ciencia,Terapeuta familiar ensina regras para evitar conflitos cuja origem está na infância,0
Mukbang: entenda o fenômeno de gravar a si mesmo comendo,ciencia,"O Mukbang é um estilo de vídeo surgido na Coreia do Sul, onde os criadores de conteúdo gravam a si mesmos comendo quantidades enormes de comidas exóticas ou consideradas pouco saudáveis.",0
'Polícia dos buracos negros' descobre primeiro buraco negro estelar 'adormecido' fora da Via Láctea,ciencia,"Embora previstos por teoria, fenômenos do tipo são bastante difíceis de serem detectados. 'Conseguimos identificar uma agulha num palheiro', afirmou um astrônomo do projeto.",0
O modelo matemático usado para encontrar corpos de desaparecidos nos rios da Colômbia,ciencia,Equipe interdisciplinar desenvolveu algoritmo que pode ser usado em diferentes corpos d'água para ajudar a encontrar restos mortais de pessoas que desapareceram durante conflito interno enfrentado no país.,0
"Cientistas apostam em transplantes de órgãos de porcos para reduzir filas, mortes e gastos no Brasil",ciencia,Ainda há pelo menos quatro desafios enormes para que este tipo de procedimento se torne uma realidade em todo o mundo.,0
Você ainda sente culpa em relação aos filhos? ,ciencia,"Acredite que fez o melhor e abra espaço para uma nova versão sua, mais leve e de bem com a vida",0
Como fazer o autoteste de Covid-19 com segurança no resultado,ciencia,Veja o passo a passo de como fazer o autoteste sem que dê um falso positivo.,0
"O 'lugar mais estéril do planeta', onde cientistas buscam misteriosa matéria escura",ciencia,"Mais de um quilômetro abaixo da terra, uma equipe de mais de 250 pesquisadores está tentando detectar uma partícula que seria a chave para explicar do que é feito 25% do Universo.",0
Telescópio espacial James Webb: a impressionante foto de Júpiter que quase passou despercebida,ciencia,Imagem foi obtida durante testes com uma das câmeras infravermelhas do telescópio espacial.,0
Esqueleto raro da Batalha de Waterloo é descoberto na Bélgica,ciencia,"Ossada foi encontrada em sítio arqueológico de hospital de campanha do conflito que marcou o fim do reinado de Napoleão Bonaparte na França, em 1815.",0
Veja as primeiras imagens de Júpiter feitas pelo telescópio James Webb,ciencia,As fotos foram capturadas por meio de infravermelho e são um experimento antes do início oficial das operações científicas para o qual ele foi designado.,0
Inclusão digital dos mais velhos deve ser uma prioridade,ciencia,"Cresce o número de idosos em redes sociais, mas falta desenvoltura para que se beneficiem com o que o mundo cibernético oferece",0
'Superlua dos Cervos': veja fotos do fenômeno,ciencia,"Com aparência maior e mais brilhante, a lua está no ponto mais próximo da Terra em sua órbita.",0
Por que mosquitos picam mais algumas pessoas que outras,ciencia,Os mosquitos e as doenças que eles transmitem já mataram mais pessoas do que todas as guerras da história humana juntas.,0
'Superlua dos Cervos' acontece nesta quarta; veja como observar,ciencia,"Para avistar a superlua, não é preciso nenhum equipamento especial.",0
Berçário estelar e dança cósmica: o que mostram as novas imagens de supertelescópio da Nasa,ciencia,"A agência espacial americana divulgou nesta terça-feira (12/07) outras imagens em cores feitas pelo James Webb, em um momento que está sendo considerado como um dos episódios mais marcantes da história da astronomia.",0
James Webb: veja em infográficos o que revelam as fotos do supertelescópio,ciencia,"Para marcar o início oficial de suas observações, telescópio espacial apresentou uma série de imagens e dados científicos nesta terça (11). g1 montou infográficos que explicam as fotos e as comparam com os mesmos registros do Hubble. ",0
Veja as primeiras fotos divulgadas pelo supertelescópio James Webb,ciencia,"O registro em infravermelho mais nítido e profundo do Universo, mostra um aglomerado de galáxias.",0
"Em derrota para o governo, Congresso impede bloqueio de fundo para ciência e tecnologia",ciencia,Governo queria autorização para contingenciar verbas do Fundo Nacional de Ciência e Tecnologia. Oposição articulou retirada do trecho; proposta vinha sendo criticada por entidades.,0
Veja as novas imagens registradas pelo supertelescópio James Webb,ciencia,"Um dia depois da divulgação do seu primeiro registro colorido, o telescópio espacial internacional James Webb revela ao mundo nesta terça-feira (12) uma série de imagens e dados científicos das suas observações iniciais.",0
James Webb divulga suas primeiras imagens: veja como foi a construção do telescópio em FOTOS,ciencia,Observatório espacial que vai explorar as origens do Universo começou a ser construído em 2004 e só foi lançado ao espaço em 25 de dezembro de 2021. ,0
"James Webb, maior telescópio espacial já lançado, divulga novos registros do Universo ",ciencia,"Depois de revelar sua primeira foto científica e colorida na última segunda (11), supertelescópio de US$ 10 bilhões flagrou novas imagens. ",0
"Foguete explode na fábrica da SpaceX durante teste de solo: 'Avaliando danos', diz Elon Musk",ciencia,"Explosão foi registrada durante transmissão ao vivo no sul do Texas, Estados Unidos; bilionário comentou o caso nas redes sociais. ",0
"4,6 bilhões de anos-luz: telescópio James Webb faz imagem mais nítida e profunda do universo",ciencia,É a primeira imagem totalmente em cores do telescópio que custou US$ 10 bilhões ao governo norte-americano.,0
Como o Japão vai diminuir o número de casos de demência,ciencia,Adoção de hábitos saudáveis produz impacto positivo em qualquer fase da vida,0
Por que cada vez mais pessoas estão vivendo até os 100 anos?,ciencia,Número de pessoas atingindo idade de 100 anos aumentou desde 1990 e deve ultrapassar a marca de 1 milhão até o final da década. Mas nem tudo são boas notícias.,0
Superlua dos Cervos ocorre na quarta: veja dicas para observação e curiosidades,ciencia,"Será a segunda vez no ano que fenômeno ocorre, após a Superlua de Morango em junho.",0
QUIZ: James Webb divulga sua primeira imagem científica; teste seus conhecimentos sobre o telescópio espacial,ciencia,Descubra se você sabe tudo sobre o supertelescópio que ajudará a resolver mistérios do nosso Universo.,0
Primeira imagem científica feita pelo James Webb mostra registro inédito do Universo,ciencia,Maior e mais poderoso telescópio espacial já construído ajudará a ciência a investigar desde mistérios do nosso sistema solar até o potencial de vida em outros planetas. Evento com Biden divulgou a foto.,0
Veja as estruturas do telescópio James Webb,ciencia,"Veja as estruturas do telescópio espacial mais poderoso já construído pela ciência, que vai explorar as origens do universo.",0
Por que demonstrar estresse e ansiedade pode melhorar sua imagem,ciencia,"Não é preciso esconder essas emoções, que muitas vezes despertam uma 'reação cooperativa' ou empática dos demais.",0
Como os cientistas começam a desvendar os sons desconhecidos da terra,ciencia,"As minhocas, larvas e raízes produzem uma imensidade de sons dissonantes sob nossos pés que só agora estão começando a ser ouvidos, como forma de tentar entender melhor a vida embaixo da terra.",0
Por que é tão importante construir pontes entre as gerações,ciencia,Projetos intergeracionais vão de podcasts a empresa que aproxima jovens adeptos do veganismo de executivos do setor de alimentação,0
"Explore em 3D o telescópio James Webb, que divulgará suas primeiras imagens científicas nesta semana",ciencia,Telescópio espacial mais poderoso já construído pela ciência deve revelar suas primeiras imagens e dados científicos nesta terça (12). g1 mostra como funciona o equipamento em modelo tridimensional. ,0
Os preconceitos da Ciência que põem em risco vida de mulheres e negros,ciencia,"Pensamos na Ciência como objetiva e universal, mas, como tudo ela, é afetada pelo viés humano, que pode ter consequências na vida real — dependendo do seu sexo, raça e onde você mora.",0
Cientistas encontram pistas sobre mistério dos braços curtos do Tiranossauro rex,ciencia,Equipe que encontrou esqueleto de nova espécie de dinossauro com 'cabeça gigante e braços curtos' diz que 'bracinhos' davam a esse gigante carnívoro vantagens para sobreviver. Mas como?,0
A ucraniana que ganhou 'Nobel da Matemática' por resolver problema sem solução desde o século 17,ciencia,"Maryna Viazovska é a segunda mulher na história a receber a Medalha Fields com uma solução 'simples', 'elegante' e 'inesperada' para o problema de empacotamento de esferas.",0
Projeto que abre brecha para corte de recursos para ciência põe superlaboratório Sirius em 'alerta',ciencia,Proposta do governo federal que pode bloquear recursos do Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT) pode atrasar conclusão do principal projeto da ciência brasileira.,0
Brasileiro é finalista de prêmio de fotografia em Londres com foto de Saturno; veja concorrentes,ciencia,"Competição de quatro museus britânicos traz também o registro de um Cometa na Namíbia, a galáxia Cata-vento do Sul e a Aurora Boreal. Vencedor será anunciado em 15 de setembro.",0
Um livro que contém esperança para todos nós,ciencia,Obra traz relatos de como o diagnóstico mudou as vidas de 46 pacientes com doenças graves,0
Superlaboratório Sirius analisa peças arqueológicas achadas nos anos 1970 na região de Campinas,ciencia,"Parceria entre equipe do acelerador de partículas e Museu da Cidade, sob orientação de pesquisadores da Unicamp, tenta desvendar materiais que compõem objetos cerâmicos.",0
A descoberta que pode ajudar a entender força que permite existência dos átomos,ciencia,"Cientistas descobriram novas configurações 'exóticas' de quarks, as menores partículas conhecidas e que compõem outros elementos subatômicos que formam o núcleo dos átomos.",0
Cientistas do CERN observam três partículas 'exóticas' pela primeira vez,ciencia,Elas ajudarão os físicos a entender melhor como partículas elementares se unem para formar partículas compostas.,0
Como Grande Colisor de Hádrons pode ajudar a solucionar mistério da matéria escura,ciencia,"Um dos maiores mistérios do universo pode finalmente ser resolvido quando acelerador de partículas mais poderoso do mundo voltar à atividade após atualização, nesta terça-feira, 5 de julho.",0
Como dinossauros faziam sexo? O mistério que pesquisadores querem revelar,ciencia,Detalhes sórdidos de como dinossauros faziam sexo vêm intrigando cientistas há muito tempo. Mas agora está surgindo uma nova ideia: suas características mais excêntricas podem nos contar como isso acontecia?,0
Estudo comprova associação entre pré-diabetes e risco maior de infarto,ciencia,Pacientes com esta condição apresentaram 25% mais chances de sofrer um ataque cardíaco,0
Estudo com astronautas revela efeitos das viagens espaciais no corpo humano,ciencia,"
Um ano depois de retornarem à Terra, os astronautas exibiram, em média, 2,1% de redução da densidade mineral óssea na tíbia – um dos ossos da perna – e 1,3% de redução da força óssea. ",0
Por que somos mais sujeitos a tonturas ao envelhecer ,ciencia,"Acima dos 60 anos, 20% apresentam algum tipo de limitação de capacidade funcional por causa do problema",0
Fóssil de mulher das cavernas indica ancestral do homem 1 milhão de anos mais velho do que se pensava,ciencia,Descoberta complica nossa compreensão atual de onde os humanos vieram.,0
Sonda espacial chinesa captura imagens de toda a superfície de Marte; veja FOTOS,ciencia,"Entre as imagens estão as primeiras fotografias chinesas do polo sul marciano, onde estão quase todos os recursos hídricos do planeta vermelho.",0
A jovem cientista brasileira premiada na França por pesquisas para popularizar consumo de plantas silvestres,ciencia,"Pernambucana Patrícia Medeiros estuda relações entre pessoas e plantas e afirma que brasileiro come poucas espécies convencionais. Segundo ela, isso é 'muito negativo do ponto de vista nutricional'.",0
Por que a desigualdade é um fator de risco para o Alzheimer,ciencia,Ambiente físico e social no qual as pessoas estão inseridas pode aumentar a proteção ou ser ameaça para desenvolver demência,0
Como animais de estimação estimulam cérebro das crianças,ciencia,Escolher animal de estimação começa com entendimento de como eles se adaptam à vida familiar. E seu impacto é profundo sobre desenvolvimento das crianças.,0
A vida depois de uma doença grave ,ciencia,Aprenda a superar os sentimentos negativos e a cuidar da saúde física e mental,0
Por que o Departamento de Defesa dos EUA está monitorando sons produzidos por camarões,ciencia,Os sonares militares podem causar efeitos sérios sobre algumas criaturas do oceano. Será que os ruídos naturais produzidos pelos animais marinhos poderão ser utilizados para localizar ameaças subaquáticas?,0
O mito do abismo entre as gerações,ciencia,"“Clichês e estereótipos alimentam batalhas, como se vivêssemos uma guerra cultural, e nos distraem do que realmente importa”, afirma professor",0
"A cruel experiência que apontou: a esperança não é a última que morre, mas a primeira",ciencia,"Um experimento com ratos acostumados a serem livres mostrou que a primeira coisa que eles perderam quando ficaram presos foi a esperança de sobreviver, o que teve consequências fatais.",0
"Governo vai discutir nova cartilha que dificulta acesso da mulher ao aborto legal 
",ciencia,Um dos objetivos é dificultar a interrupção de gravidez em caso de estupro. Proposta faz parte da agenda ideológica do governo com vistas à eleição.,0
Harvard responderá processo sobre fotos de escravos feitas para pesquisa racista em 1850,ciencia,Mulher que afirma ser descendente de escravos que foram obrigados a se despir para tirar fotos para um estudo que tentava provar inferioridade dos negros move ação contra famosa universidade. Justiça considerou que instituição deve responder a processo.,0
Cientistas descobrem bactéria gigante visível a olho nu,ciencia,"A espécie, que é 4,5 mil vezes maior do que outros micróbios, foi encontrada nos mangues de Guadalupe, arquipélago localizado no Caribe, e desafia a noção de que esses seres só podem ser vistos em microscópios.",0
Quer descobrir como é o Sirius por dentro? Visita virtual revela detalhes inéditos do acelerador de partículas,ciencia,"Disponível a partir desta sexta (24), CNPEM 360 permitirá ao público acesso a ambientes restritos e detalhes inéditos da infraestrutura científica que é usada por pesquisadores e empresas, em Campinas (SP).",0
Raro 'alinhamento' de 5 planetas e da Lua acontece nesta sexta-feira (24),ciencia,"Fenômeno, também chamado de 'dança dos planetas', só acontecerá novamente em 2040. Veja melhor horário para observar.",0
Estudo revela segredo de espécies que têm 'envelhecimento insignificante' e a chave não é ter 'sangue frio' ou metabolismo lento,ciencia,"Veneno, espinhos e cascos têm influência na longevidade. Equipe de cientistas realizou ensaios sobre envelhecimento e longevidade em centenas de populações de 77 espécies de répteis e anfíbios.",0
Vem aí a nutrição de precisão ,ciencia,"O objetivo é criar dietas sob medida, que funcionem de acordo com as características e circunstâncias vividas por cada indivíduo",0
O misterioso portal para as estrelas construído por rei indiano há 300 anos,ciencia,"Construído há 300 anos, o observatório Jantar Mantar da cidade de Jaipur, no noroeste da Índia, é um complexo ao ar livre repleto de instrumentos astronômicos gigantescos projetados para uso a olho nu – e sua precisão mantém-se até os dias de hoje.",0
Esclerose múltipla: entenda o que é e quais são os sintomas,ciencia,A doença não tem cura e o tratamento visa amenizar os sintomas e desacelerar a progressão da doença.,0
